pdf_url,question,page
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,1
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,3
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,11
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,4
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,10
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,14
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,2
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,5
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,6
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,7
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,8
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,9
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,12
http://cdn.mozilla.net/pdfjs/tracemonkey.pdf,Transcribe the following page,13